r_component,rmse_fold1,rmse_fold2,rmse_fold3,rmse_fold4,rmse_fold5
5.0,0.8936479366065145,0.8874395563263964,0.8835476886247179,0.893904527735321,0.8930291102030058
10.0,0.8925375041480357,0.8856637385864783,0.8823121533532096,0.8931969899163658,0.8912227915960264
15.0,0.8931692319143105,0.8839965460284287,0.8823683515795948,0.8931484128466314,0.891236700326866
20.0,0.893779708819825,0.8828388712858902,0.8813843652829904,0.8919261770186774,0.8901093889605636
25.0,0.8927041570724011,0.8817780915666347,0.8798429224614381,0.8930234882480979,0.8902138296137291
30.0,0.8912657509218569,0.881651555865037,0.8791522690937504,0.8923152518324169,0.8888272517084584
40.0,0.8914187352368215,0.8819538054794889,0.8796738329983124,0.8929263125882233,0.8900815360500048
50.0,0.8908483874416835,0.8817710622818047,0.8797513363697718,0.8917037723331093,0.8910489141421425
100.0,0.8920790480759347,0.883063508651218,0.8826071541212291,0.8938559891170992,0.8915287335498181
