lmb,r_component,rmse_fold1,rmse_fold2,rmse_fold3,rmse_fold4,rmse_fold5
0.0,5.0,1.1478505419968807,1.1608340010200993,1.1686778868334513,1.1374791335201417,1.15575925373677
0.0,10.0,1.259219976089434,1.2744995819187244,1.2680295907395163,1.2682153246136736,1.2871463922126793
0.0,15.0,1.349956703418953,1.3507507889159747,1.3598243741588665,1.3603074492275122,1.3697137031944897
0.0,20.0,1.4192273872618522,1.4410792746675776,1.420864194864146,1.4288552799766572,1.4356183682187258
0.0,25.0,1.4959408557769736,1.4727698139146195,1.460946798373198,1.4734598566047314,1.4774350609692453
0.0,30.0,1.506485870392178,1.5371992725765444,1.536259490320448,1.5421508633938368,1.5363343660840723
0.0,35.0,1.5631727985718888,1.5614311190014518,1.589490138747387,1.5736769257990295,1.6003628480871097
0.0,40.0,1.6183497407463656,1.630787674266091,1.6376223350584962,1.621445232879926,1.636862462984925
0.0,45.0,1.6577329532093807,1.6742554623475994,1.6669203621728748,1.663548098044616,1.6634286110768768
0.0,50.0,1.7064139487494052,1.6963408476873691,1.7155249153281966,1.7337247639112323,1.7111920705347508
