r_component,rmse_fold1,rmse_fold2,rmse_fold3,rmse_fold4,rmse_fold5
4.0,2.996086354851637,2.993112041100972,3.0036175937157052,3.0090749669114727,2.9996198357565023
6.0,2.9673413675361062,2.963407599133416,2.9708672912034926,2.973407369656486,2.96422290216588
8.0,2.9606516887629386,2.952467193364238,2.9645347537753786,2.9701098525680347,2.96053851156524
10.0,2.9629557804513054,2.954666486880272,2.965883012181991,2.9706064870289532,2.96090904086473
12.0,2.9686486814376933,2.9684022988912195,2.97907197577739,2.9793153955417284,2.9677565327638975
14.0,2.981557251100958,2.9814574640778657,2.9886170221795014,2.991139955394345,2.9826721744566007
16.0,2.992006010236248,2.984713371307371,2.9957056750779696,3.000437977318414,2.993538923679512
18.0,3.0017597853418785,2.9958774007471387,3.00517107761474,3.0093427355660456,3.002424479790045
20.0,3.0156510634258646,3.0082282492166605,3.0192601689928353,3.0239576598550815,3.014651268871339
22.0,3.0234267376379136,3.0166087085271727,3.0308941311752906,3.038708311521369,3.0269085265471922
24.0,3.0399094944940597,3.0324438615237383,3.0447115232857054,3.0506663502816584,3.03652318064209
26.0,3.049286468093225,3.03931813945398,3.0491319799753787,3.058265853915024,3.0454746277144324
28.0,3.0576070993826967,3.049062864335842,3.061814606161045,3.068905858856884,3.0577035940943595
30.0,3.062514957972261,3.0561938454789566,3.074519507792768,3.07551928338909,3.06157674763739
32.0,3.0726097585631846,3.0692289925674143,3.0835862225126056,3.0880814974276176,3.071224135648895
34.0,3.082325646791646,3.073579906196983,3.0908862202960634,3.092033055887958,3.081082716524991
36.0,3.095140606439421,3.084593106524098,3.1014422959278156,3.103252412274691,3.091338939346745
38.0,3.1020118172606237,3.095819404213965,3.106903396187981,3.1125082556028687,3.099974168489067
40.0,3.110500278085066,3.1034541368786854,3.116480552460934,3.1167351161912094,3.107247273839886
42.0,3.120761617273907,3.1108051438224718,3.12168900314554,3.1302052894282184,3.1194566065312936
44.0,3.128785206933531,3.118277963910092,3.134180866031295,3.135335588219575,3.127080822500153
46.0,3.1373671831284287,3.126575568499942,3.141428404450844,3.1432884547419264,3.136906117195725
48.0,3.144599493593397,3.137485718075871,3.1504776615159193,3.154824580477426,3.1437192221001267
50.0,3.155875513287506,3.1418407481215924,3.1567356426674866,3.1614229597855137,3.152503915953656
