r_component,rmse_fold1,rmse_fold2,rmse_fold3,rmse_fold4,rmse_fold5
4.0,0.9410857485246832,0.9433158516391982,0.9392529808560143,0.9339919448486151,0.9357985684589761
6.0,0.9399917919057068,0.941184537386785,0.9381238523639486,0.9330092564511849,0.9347051093324236
8.0,0.9382361657346819,0.9405916485796034,0.9373835690745717,0.9337264553762677,0.9327270076316914
10.0,0.9382559843456689,0.9389295682161208,0.9361462557043221,0.9337928348208031,0.9322617441147444
12.0,0.9385994404456035,0.9386192513861745,0.9348410044891695,0.9335140094350348,0.9322019076723609
14.0,0.9381833140586139,0.9395696852996009,0.9351194342037369,0.9343303345161839,0.9328731853837012
16.0,0.9394113464241581,0.9391011887931359,0.9350465201491637,0.9336999022771034,0.9347117402102056
18.0,0.9401961816657429,0.939497116627579,0.9362588063070829,0.9347017585298107,0.9353547119291824
20.0,0.9402489201979211,0.9415005920885336,0.9361065287312853,0.9357422862204391,0.9360171069982725
22.0,0.9402225513016051,0.9413886681837198,0.9369007481323962,0.9360138259037296,0.9380477376508406
24.0,0.9406443649393803,0.9433421340696294,0.9377603934171528,0.9375620836949766,0.9383780431385349
26.0,0.9418231218649585,0.9438085254183461,0.9376281915960124,0.9358283926992914,0.9383912529397384
28.0,0.9424020818838997,0.945094833632023,0.9377868315449679,0.9376281915960124,0.9398497921966608
30.0,0.9419810553418778,0.946064968686848,0.9382163467050523,0.9371984068862815,0.939355066677738
32.0,0.9426717031931062,0.9459208223797242,0.9391011887931359,0.9371454966843037,0.940047609502675
34.0,0.942474426879353,0.9463466458000253,0.9395630883792089,0.9372579272932355,0.939355066677738
36.0,0.9431910000932026,0.946353195433012,0.9409013148972983,0.9391473889746383,0.93913730488656
38.0,0.9437165791708619,0.9483225789729225,0.9389889788886445,0.9382295594379891,0.9400146428425619
40.0,0.9435589361870367,0.948172238855171,0.9395894757828729,0.9391869873213566,0.9400146428425619
42.0,0.944825903802419,0.9480480268629102,0.9404598447522423,0.9392133852916614,0.9409899671128596
44.0,0.945881505938058,0.9485709147890817,0.941829702955248,0.939681825860399,0.9424576373793471
46.0,0.9451079502028166,0.9483683299304413,0.9422705312981108,0.9383022261433998,0.9418984812118358
48.0,0.9462418455067028,0.949765938496585,0.9416322502385652,0.9398994722839791,0.9422471704737391
50.0,0.9465038244827645,0.9496680423119361,0.9432698556238222,0.9410791622318225,0.941714215895078
