r_component,rmse_fold1,rmse_fold2,rmse_fold3,rmse_fold4,rmse_fold5
5.0,0.9526656158763837,0.9437428504413745,0.9555240609065734,0.959576173777827,0.9570299819517784
10.0,0.9352254808625269,0.9283539877616452,0.9386852848350639,0.9443403243994218,0.9393946543072592
15.0,0.934456369925367,0.9266900240931196,0.938533400956864,0.9433158516391982,0.9394936160830731
20.0,0.9345691240418956,0.9262953135389206,0.9387381082497923,0.9427045785650788,0.9389723002108574
25.0,0.9344961670493783,0.9287344757700448,0.9368412050327503,0.9404730259662103,0.936851057959419
30.0,0.9349073047994981,0.9271046235949795,0.9392397825200335,0.9424283897975301,0.9395200041294813
40.0,0.9380974237342936,0.9289013073070332,0.9403280224502124,0.9453046769248508,0.9414245832429452
50.0,0.939892877678296,0.9303481482208166,0.9412306353074024,0.9453046769248508,0.9443037853530664
100.0,0.9456062450747937,0.9362654265094263,0.9487211917302272,0.9511810427618319,0.9492136456150516
