,lmb,r_component,mean_rmse
0,0.0,1.0,1.0477966870965028
1,0.0,2.0,1.0745899929935632
2,0.0,3.0,1.1100484446362215
3,0.0,4.0,1.1392140192236222
0,0.0,5.0,1.1541201634214686
1,0.0,10.0,1.2714221731148054
2,0.0,15.0,1.3581106037831592
3,0.0,20.0,1.429128900997792
4,0.0,25.0,1.4761104771277536
5,0.0,30.0,1.5316859725534158
6,0.0,35.0,1.5776267660413732
7,0.0,40.0,1.629013489187161
8,0.0,45.0,1.6651770973702695
9,0.0,50.0,1.7126393092421908
