r_component,rmse_fold1,rmse_fold2,rmse_fold3,rmse_fold4,rmse_fold5
1.0,0.8859296385384781,0.8755067811082615,0.8856637385864783,0.8911683835930796,0.8909376147629219
2.0,0.8834284225423923,0.875159811571665,0.8813140385084975,0.8896578273329108,0.8869704508730467
3.0,0.9040878936380132,0.8966115837014208,0.9016576746224608,0.909147029646661,0.9091313074756844
4.0,0.9230375474905955,0.9144900011024334,0.9142866440219402,0.9300882828068784,0.9265265821002427
5.0,0.9398203339617268,0.9264692745074372,0.9314733939259923,0.9469097486550563,0.9394474352183194
10.0,1.0044157970533705,0.9948982270931134,0.9940256403981884,1.0109236267220234,1.0137088402751762
20.0,1.0690739568915306,1.0655605328974076,1.07161037118131,1.0870980265384595,1.0775305078001198
50.0,1.073101617679526,1.0687202344185058,1.075784109102533,1.0796776707255096,1.076252810015861
100.0,0.9495440259891139,0.9402225513016051,0.9522165814091077,0.9518519919130554,0.951750250991194
150.0,0.9111696213338503,0.9015339291440602,0.9151946224738257,0.9176092543616737,0.9177891208167417
200.0,0.8985175363220776,0.8878934271286255,0.9008392642293022,0.9046635974356515,0.9055177063652897
