lmb,r_component,rmse_fold1,rmse_fold2,rmse_fold3,rmse_fold4,rmse_fold5
0.01,1.0,1.016408495625489,1.0030449006612812,1.0099666958527838,0.9892502493974716,0.9935644265643937
0.01,2.0,0.9834311906930685,0.9768100032841553,0.9809827057466745,0.968474663836377,0.9699406717851472
0.01,3.0,0.9684106616512652,0.9759974548551705,0.9757243375273873,0.959537416855752,0.9672403257099511
0.01,4.0,0.9736448689524876,0.976264146855229,0.9803000806529244,0.9601444288968959,0.9705539195478541
0.01,5.0,0.9821698473100979,0.9796802499669655,0.9886360300839564,0.9651473444707291,0.9776990733272312
0.01,10.0,1.0291048902288695,1.0051807091490175,1.0098869106839163,0.9993241629545186,1.0099477936087353
0.05,1.0,1.0153407528262028,1.0110768968271724,1.0159632307616902,0.996267890640941,1.0042983286273937
0.05,2.0,0.9929400710155438,0.979813103837122,0.9912344541255462,0.9738612896476534,0.9765382905567211
0.05,3.0,0.9721795812992756,0.9670015418553951,0.9746565408586086,0.950509619998725,0.9617008909888142
0.05,4.0,0.9691975948100011,0.9569695126222472,0.9660716800528565,0.9512201401596642,0.9570558864837689
0.05,5.0,0.9639713890953386,0.9582510907756266,0.9573904218728565,0.9432238573654648,0.9554809115375222
0.05,10.0,0.9574292657057081,0.9532639994723593,0.9572026544592181,0.9464841785748757,0.9496118645929212
0.1,1.0,1.023784922728959,1.0228763828586553,1.0226218470474846,1.0036132471024424,1.0156451669343074
0.1,2.0,0.9955708428429173,0.987670056560274,0.9960314469574791,0.9791929648941217,0.9860251703948141
0.1,3.0,0.9739249336408493,0.9661679141535711,0.9737658158584522,0.9625815276133881,0.9676439364676584
0.1,4.0,0.9556797301998878,0.9575134219377065,0.9614991352558431,0.9454292493428404,0.951046679085357
0.1,5.0,0.9428820857663205,0.9400841024613175,0.9508616871727921,0.937178565910596,0.9414245832429452
0.1,10.0,0.9244868607878244,0.9175552145651362,0.9217070083238146,0.9130791270963156,0.9218589797685591
1.0,1.0,1.4138760448931882,1.4105974949662563,1.414336276032259,1.4063464310501645,1.4171993460742522
1.0,2.0,1.3915346996572082,1.3907371602006005,1.3904117753539387,1.383502776492732,1.3953610384442057
1.0,3.0,1.3771398284868677,1.3739721158804274,1.3737645856217449,1.3687200789912477,1.3821327921501791
1.0,4.0,1.3655736856902796,1.3640477523313304,1.3635614567314274,1.356840088052033,1.3702294546641431
1.0,5.0,1.3579131782017184,1.353730184272839,1.3562872296597162,1.3497868094633094,1.3606882927065869
1.0,10.0,1.3317668398238058,1.3299271793504963,1.3299737844289674,1.3256325026967615,1.339358576435497
