r_component,rmse_fold1,rmse_fold2,rmse_fold3,rmse_fold4,rmse_fold5
5.0,3.026465468416389,3.02893436667581,2.987940837724976,3.0000082643148263,3.009612064017983
10.0,3.0236911854528685,3.032090232932002,3.0054948768138785,3.021326733871408,3.0366007425760744
50.0,3.1857387561790302,3.2008399068815976,3.1813892665772814,3.2022841676706655,3.2079674463514207
100.0,3.349808255977104,3.367073582407571,3.3535493808344388,3.3697748523692552,3.364566747893603
150.0,3.4322906824169395,3.452494798721798,3.4328017034314793,3.4453295244874984,3.449451160432776
200.0,3.4945288720351106,3.5091843737553567,3.493867219425028,3.504886118976846,3.500235513694591
