lmb,r_component,rmse_fold1,rmse_fold2,rmse_fold3,rmse_fold4,rmse_fold5
0.0,5.0,3.6522910522141854,3.6549680696582905,3.655698904055978,3.6517462476209834,3.6524703241046184
0.0,10.0,3.652355540836316,3.6549680696582905,3.6554666129073086,3.651610458122388,3.6522225658858156
0.0,20.0,3.650933132588492,3.6535025692414886,3.654601749647939,3.6506580923668426,3.651119328677327
0.0,50.0,3.6307936143555617,3.630913111642458,3.6327818789594564,3.6280662999193254,3.632258425461708
0.0,100.0,3.492825705320168,3.49008825407364,3.498505018292641,3.485353895042753,3.495007985842484
0.0,150.0,3.2393946642003573,3.246561970050486,3.2212411590950234,3.2276538372942207,3.2221636143738146
