lmb,r_component,neg_mean_rmse
0.0,4.0,-3.6504488080904345
0.0,6.0,-3.8828396840816195
0.0,8.0,-3.3162478819009826
0.001,4.0,-3.543902135369666
0.001,6.0,-3.967888258232228
0.001,8.0,-3.914402823408944
0.01,4.0,-3.1002726872196043
0.01,6.0,-3.908693201368206
0.01,8.0,-3.63750196893739
