lmb,r_component,mean_rmse
0.0,5.0,1.110179677150852
0.0,10.0,1.2061096226116903
0.0,50.0,1.933316589291818
0.0,100.0,2.554626999912138
0.0,150.0,2.790509897399653
0.0,200.0,2.8489112103436303
