r_component,rmse_fold1,rmse_fold2,rmse_fold3,rmse_fold4,rmse_fold5
5.0,1.143424915988582,1.137026767750281,1.1579792107937583,1.1471969715595973,1.153891540925299
6.0,1.1414934902607334,1.1368686698077923,1.1568760416880473,1.1462835098095965,1.1539291396535278
7.0,1.1402004314377563,1.1370976321062922,1.1569403328191024,1.145796753714692,1.1526178316884654
8.0,1.139760022204847,1.1354939264845734,1.1560292083334904,1.1459157576314412,1.1522843927163724
9.0,1.1401623780960526,1.1358923368010247,1.156270458214382,1.1449687934428825,1.152752255600718
10.0,1.140156941800703,1.1346256718770258,1.156908187700169,1.1449146575465388,1.1519454768323913
20.0,1.138998419539027,1.1354939264845734,1.1554821887896436,1.1463321740513241,1.1519992796617256
30.0,1.1392487165763479,1.13735924686478,1.1553802643775493,1.1467916789273214,1.1528167735110284
