r_component,mean_rmse
10.0,1.0174576064643186
15.0,1.0139334825903332
20.0,1.0130170755428378
25.0,1.0105528227671476
30.0,1.0114882016012765
35.0,1.0118614546661124
40.0,1.0135208319976496
45.0,1.0144430642135414
50.0,1.0145893212195651
60.0,1.016835718787638
