lmb,r_component,mean_rmse
0.0,5.0,1.1541201634214686
0.0,10.0,1.2714221731148054
0.0,15.0,1.3581106037831592
0.0,20.0,1.4291289009977919
0.0,25.0,1.4761104771277536
0.0,30.0,1.5316859725534158
0.0,35.0,1.5776267660413732
0.0,40.0,1.629013489187161
0.0,45.0,1.6651770973702695
0.0,50.0,1.7126393092421908
