r_component,rmse_fold1,rmse_fold2,rmse_fold3,rmse_fold4,rmse_fold5
1.0,0.8925166703445163,0.8861814701607287,0.8823472776641569,0.8864262378687966,0.8855298021768861
2.0,0.8905143558193573,0.8878934271286255,0.8808427042827252,0.8919331262715087,0.8864252379637034
3.0,0.9038273357389004,0.9054032501439073,0.8971091791182354,0.9083490145674087,0.8966100929978034
4.0,0.9255656597718589,0.9204082174533161,0.9156550432768749,0.9185476883128412,0.9163428141879237
5.0,0.9323313953276173,0.9318459566868353,0.9220835171473531,0.9230039716224856,0.9314303383550756
10.0,0.9950165906003732,0.9911344001781706,0.9840927487823391,0.9928838885914734,0.993526997361579
20.0,1.0855460718966947,1.0772062858422915,1.0707308351063691,1.073840692327608,1.0782780063345738
50.0,1.1022612746927614,1.0974711393791723,1.0923139200820242,1.0956849963136865,1.1037174392210258
100.0,0.9983561139852503,0.9847035074932251,0.9868727306410224,0.993289579140922,0.9960129760564509
150.0,0.9747328508418291,0.961254139394881,0.9603509837553151,0.9648004903170043,0.9664261852819241
200.0,0.9656930662123496,0.9540699226812478,0.9520994071538915,0.9577593746786282,0.956971694190975
